State,Year,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
Uttar Pradesh,#N/A,242102,772547,3.19
Uttar Pradesh,#N/A,244358,798318,3.27
Uttar Pradesh,#N/A,241879,937039,3.87
Uttar Pradesh,#N/A,242533,801572,3.31
Uttar Pradesh,#N/A,242573,844154,3.48
Uttar Pradesh,#N/A,252710,861741,3.41
Uttar Pradesh,#N/A,241665,846794,3.5
Uttar Pradesh,#N/A,69610,210381,3.02
Uttar Pradesh,#N/A,69705,214609,3.08
Uttar Pradesh,#N/A,69399,188955,2.72
Uttar Pradesh,#N/A,68617,127010,1.85
Uttar Pradesh,#N/A,68502,165021,2.41
Uttar Pradesh,#N/A,70914,239146,3.37
Uttar Pradesh,#N/A,69363,234528,3.38
Uttar Pradesh,#N/A,68973,241128,3.5
Uttar Pradesh,#N/A,68369,225602,3.3
Uttar Pradesh,#N/A,69795,256304,3.67
Uttar Pradesh,#N/A,72087,259153,3.6
Uttar Pradesh,#N/A,70793,173726,2.45
