State,Year,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
Uttar Pradesh,#N/A,195264,826357,4.23
Uttar Pradesh,#N/A,195061,802091,4.11
Uttar Pradesh,202178,202178,827717,4.09
Uttar Pradesh,#N/A,193565,798068,4.12
Uttar Pradesh,#N/A,113535,342535,3.02
Uttar Pradesh,#N/A,113917,330929,2.91
Uttar Pradesh,#N/A,115703,351737,3.04
Uttar Pradesh,#N/A,116559,193954,1.66
Uttar Pradesh,#N/A,117350,274130,2.34
Uttar Pradesh,#N/A,117710,351011,2.98
Uttar Pradesh,#N/A,117733,412419,3.5
Uttar Pradesh,#N/A,120236,383914,3.19
Uttar Pradesh,#N/A,119461,441528,3.7
Uttar Pradesh,#N/A,118046,441846,3.74
Uttar Pradesh,#N/A,121457,457043,3.76
Uttar Pradesh,#N/A,121800,450295,3.7
Uttar Pradesh,#N/A,162594,423557,2.6
Uttar Pradesh,#N/A,163229,437611,2.68
Uttar Pradesh,#N/A,178578,372871,2.09
Uttar Pradesh,#N/A,173401,367957,2.12
Uttar Pradesh,#N/A,141798,246445,1.74
Uttar Pradesh,#N/A,171453,525509,3.07
Uttar Pradesh,#N/A,152659,424392,2.78
Uttar Pradesh,#N/A,188237,642076,3.41
Uttar Pradesh,#N/A,171271,548410,3.2
Uttar Pradesh,#N/A,171453,535282,3.12
Uttar Pradesh,#N/A,171462,620521,3.62
Uttar Pradesh,#N/A,170854,623617,3.65
Uttar Pradesh,#N/A,82274,222469,2.7
Uttar Pradesh,#N/A,83388,239490,2.87
Uttar Pradesh,#N/A,81363,241811,2.97
Uttar Pradesh,#N/A,79315,144512,1.82
Uttar Pradesh,#N/A,78645,176399,2.24
Uttar Pradesh,#N/A,80518,228832,2.84
Uttar Pradesh,#N/A,81589,266225,3.26
Uttar Pradesh,#N/A,78962,284658,3.6
Uttar Pradesh,#N/A,83026,257381,3.1
Uttar Pradesh,#N/A,81162,275302,3.39
Uttar Pradesh,#N/A,85202,301700,3.54
Uttar Pradesh,#N/A,80965,283216,3.5
Uttar Pradesh,#N/A,149390,490896,3.29
Uttar Pradesh,#N/A,154351,510902,3.31
Uttar Pradesh,#N/A,148850,500136,3.36
Uttar Pradesh,#N/A,152333,361486,2.37
Uttar Pradesh,#N/A,153291,459260,3
Uttar Pradesh,#N/A,148918,525383,3.53
Uttar Pradesh,#N/A,145443,515741,3.55
Uttar Pradesh,#N/A,147751,610212,4.13
Uttar Pradesh,#N/A,148985,600708,4.03
Uttar Pradesh,#N/A,149744,560791,3.74
Uttar Pradesh,#N/A,155147,551392,3.55
Uttar Pradesh,#N/A,148897,550174,3.69
Uttar Pradesh,#N/A,62984,116023,1.84
Uttar Pradesh,#N/A,71221,140868,1.98
Uttar Pradesh,#N/A,74888,129180,1.72
Uttar Pradesh,#N/A,69598,67961,0.98
Uttar Pradesh,#N/A,23623,18593,0.79
Uttar Pradesh,#N/A,74140,187505,2.53
Uttar Pradesh,#N/A,48394,86668,1.79
Uttar Pradesh,#N/A,81887,230571,2.82
Uttar Pradesh,#N/A,84331,242804,2.88
Uttar Pradesh,#N/A,71779,194394,2.71
Uttar Pradesh,#N/A,79923,227061,2.84
Uttar Pradesh,#N/A,78392,308864,3.94
Uttar Pradesh,#N/A,161486,603796,3.74
Uttar Pradesh,#N/A,152558,548751,3.6
Uttar Pradesh,#N/A,153478,581375,3.79
Uttar Pradesh,#N/A,149855,349312,2.33
Uttar Pradesh,#N/A,161770,539018,3.33
Uttar Pradesh,#N/A,149633,600776,4.01
Uttar Pradesh,#N/A,150750,666014,4.42
Uttar Pradesh,#N/A,152866,678878,4.44
Uttar Pradesh,#N/A,150224,635448,4.23
Uttar Pradesh,#N/A,150115,637839,4.25
Uttar Pradesh,#N/A,156761,604627,3.86
Uttar Pradesh,#N/A,149897,601087,4.01
Uttar Pradesh,#N/A,193061,712202,3.69
Uttar Pradesh,#N/A,196974,735895,3.74
Uttar Pradesh,#N/A,194364,677553,3.49
Uttar Pradesh,#N/A,194214,407849,2.1
Uttar Pradesh,#N/A,178832,617507,3.45
Uttar Pradesh,#N/A,194285,797346,4.1
Uttar Pradesh,#N/A,200421,704480,3.52
Uttar Pradesh,#N/A,203721,850331,4.17
Uttar Pradesh,#N/A,195767,557349,2.85
Uttar Pradesh,#N/A,202884,712731,3.51
Uttar Pradesh,#N/A,203144,708973,3.49
Uttar Pradesh,#N/A,194250,695998,3.58
Uttar Pradesh,#N/A,94869,284417,3
Uttar Pradesh,#N/A,94885,315208,3.32
Uttar Pradesh,#N/A,93556,285626,3.05
Uttar Pradesh,#N/A,95097,198467,2.09
Uttar Pradesh,#N/A,92953,232661,2.5
Uttar Pradesh,#N/A,94754,315626,3.33
Uttar Pradesh,#N/A,95373,352975,3.7
Uttar Pradesh,#N/A,95550,367772,3.85
Uttar Pradesh,#N/A,95061,329291,3.46
Uttar Pradesh,#N/A,94569,356525,3.77
Uttar Pradesh,#N/A,98616,364879,3.7
Uttar Pradesh,#N/A,94319,323420,3.43
Uttar Pradesh,#N/A,78449,330192,4.21
Uttar Pradesh,#N/A,78236,323115,4.13
Uttar Pradesh,#N/A,76532,328475,4.29
Uttar Pradesh,#N/A,76072,245180,3.22
Uttar Pradesh,#N/A,75480,308562,4.09
Uttar Pradesh,#N/A,76095,332002,4.36
Uttar Pradesh,#N/A,75592,329959,4.36
Uttar Pradesh,#N/A,80065,373423,4.66
Uttar Pradesh,#N/A,74650,340180,4.56
Uttar Pradesh,#N/A,79499,362992,4.57
Uttar Pradesh,#N/A,81074,338889,4.18
Uttar Pradesh,#N/A,77846,333337,4.28
Uttar Pradesh,#N/A,98230,241442,2.46
Uttar Pradesh,#N/A,96784,253905,2.62
Uttar Pradesh,#N/A,97530,248407,2.55
Uttar Pradesh,#N/A,98339,174733,1.78
Uttar Pradesh,#N/A,90799,160943,1.77
Uttar Pradesh,#N/A,98525,275293,2.79
Uttar Pradesh,#N/A,94546,278692,2.95
Uttar Pradesh,#N/A,96564,303796,3.15
Uttar Pradesh,#N/A,96236,233240,2.42
Uttar Pradesh,#N/A,97635,319909,3.28
Uttar Pradesh,#N/A,100512,351993,3.5
Uttar Pradesh,#N/A,143382,478609,3.34
Uttar Pradesh,#N/A,193634,615756,3.18
Uttar Pradesh,#N/A,118320,362769,3.07
Uttar Pradesh,#N/A,122018,394362,3.23
Uttar Pradesh,#N/A,122232,196916,1.61
Uttar Pradesh,#N/A,121759,375560,3.08
Uttar Pradesh,#N/A,118927,417791,3.51
Uttar Pradesh,#N/A,123231,456078,3.7
Uttar Pradesh,#N/A,115217,460983,4
Uttar Pradesh,#N/A,125107,471153,3.77
Uttar Pradesh,#N/A,121959,528204,4.33
Uttar Pradesh,#N/A,126886,527211,4.15
