State,Mean_SOC,Median_SOC,Min_SOC,Max_SOC,Std_SOC
Chandigarh,23.753031412760418,23.150001525878906,20.299999237060547,36.20000076293945,2.82393564656291
Chandigarh,24.27222357855903,23.149999618530273,20.299999237060547,35.099998474121094,3.6164447161274316
Chandigarh,30.14666748046875,27.899999618530273,21.799999237060547,50.29999923706055,6.363684928003832
Chandigarh,20.200000762939453,20.200000762939453,20.200000762939453,20.200000762939453,0.0
Haryana,10.400000179515166,10.199999809265137,9.300000190734863,12.5,0.9725648218735
Haryana,10.300000190734863,10.299999237060547,10.0,10.600000381469727,0.2236069043742886
Haryana,10.34375,10.25,9.800000190734863,11.100000381469727,0.32781233218428824
Haryana,10.23873873873874,10.199999809265137,9.399999618530273,11.199999809265137,0.4202468101427239
Haryana,10.636362942782315,10.600000381469727,9.800000190734863,11.199999809265137,0.3656196295832097
Haryana,8.255555894639757,8.050000190734863,6.699999809265137,10.199999809265137,1.1861338539038317
Haryana,9.803053062380725,9.899999618530273,8.199999809265137,10.800000190734863,0.5215858145857243
Haryana,10.49230722280649,10.5,9.399999618530273,11.899999618530273,0.4937479278419096
Haryana,10.816418092642257,10.800000190734863,9.5,11.800000190734863,0.447746259065551
Haryana,10.361164574484222,10.399999618530273,9.100000381469727,11.5,0.5859575473283201
Haryana,10.43521161146567,10.5,8.899999618530273,11.399999618530273,0.5176051625559096
Haryana,10.462790555732195,10.600000381469727,8.699999809265137,11.699999809265137,0.7420973911838356
Haryana,,,,,
Haryana,9.425735473632812,9.699999809265137,6.800000190734863,10.699999809265137,0.8076833178794638
Haryana,10.449305216471354,10.449999809265137,9.399999618530273,11.300000190734863,0.4201515259608949
Haryana,10.306944953070747,10.300000190734863,9.100000381469727,11.300000190734863,0.4431034574456941
Haryana,10.02013905843099,10.050000190734863,8.5,12.100000381469727,0.8645470754267697
Haryana,9.567360772026909,9.5,8.300000190734863,11.300000190734863,0.5891177086694247
Haryana,9.818440755208334,9.800000190734863,7.599999904632568,12.5,0.8962968229643468
