Year,Season,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,RH2M,WS2M,State
2011,Kharif,31.569180327868853,36.464999999999996,26.66762295081967,605.85,2268.47,61.42401639344262,1.6418032786885246,Punjab
2011,Rabi,19.648820754716983,27.900943396226417,13.16259433962264,63.62,3190.45,41.82693396226415,1.4108018867924528,Punjab
2012,Kharif,33.787622950819674,39.69647540983607,28.04040983606557,366.42,2443.52,45.64377049180328,1.9268032786885245,Punjab
2012,Rabi,18.839342723004695,27.57868544600939,12.329154929577465,93.78,3229.11,39.93990610328639,1.6129107981220658,Punjab
2013,Kharif,31.862540983606557,37.12319672131147,26.646639344262294,619.3299999999999,2303.98,58.41688524590164,1.59672131147541,Punjab
2013,Rabi,19.345943396226417,27.804481132075473,12.923915094339621,158.25,3097.45,45.22561320754717,1.5999999999999999,Punjab
2014,Kharif,33.54860655737705,39.26098360655738,27.771475409836064,481.46999999999997,2481.94,46.02418032786885,1.8195081967213114,Punjab
2014,Rabi,18.60816037735849,27.092877358490565,12.237122641509433,156.04,3080.97,45.703018867924534,1.5725,Punjab
2015,Kharif,31.827540983606557,37.64049180327869,26.11606557377049,554.63,2402.59,52.44098360655738,1.7659836065573769,Punjab
2015,Rabi,19.331509433962264,27.365235849056607,13.092783018867925,249.32,3014.63,47.93622641509434,1.5273584905660378,Punjab
2016,Kharif,32.63098360655738,38.14081967213115,27.050819672131148,502.38,2379.49,53.293196721311475,1.5898360655737707,Punjab
2016,Rabi,20.959389671361503,29.79544600938967,14.106948356807512,70.69,3203.15,33.76962441314554,1.5894366197183099,Punjab
2017,Kharif,31.80745901639344,37.27549180327868,26.447131147540986,601.82,2392.02,56.139016393442624,1.569262295081967,Punjab
2017,Rabi,20.0738679245283,28.65764150943396,13.410141509433961,157.75,3187.46,40.45594339622642,1.563867924528302,Punjab
2018,Kharif,31.2644262295082,36.3744262295082,26.26139344262295,845.29,2277.7,62.45459016393443,1.7097540983606558,Punjab
2018,Rabi,19.755849056603772,28.0786320754717,13.134009433962264,86.7,3282.12,42.1761320754717,1.4984433962264152,Punjab
